servierCode,providerCode,geographyCode,sourceChannelCode,nameEn
,000100,013;015;022;042;050;022,SG_GP,KEPPEL FELS LIMITED -DR S C YEONG
,000396,013;014;021;040;050,SG_GP,PCS MEDICAL CENTRE
,000481,010;020;030;040;050,SG_PubH,MAJLIS UGAMA ISLAM SINGAPURA PILGRIMAGE SECTION
,000586,010;020;090;040;050,SG_GP,"WONG, ONG & PARTNERS- DR ONG ENG CHIANG"
,000930,010;020;090;040;050,SG_PriSsur,ADVANCE SURGICAL GROUP PTE LTD
,000964,010;020;030;040;050;090,SG_Pharm,ISLAND VETERINARY CLINIC PTE LTD
,100002,033;032;042;050;040;080;030,SG_PubH,TAN TOCK SENG HOSPITAL
,100004,031;041;050;035;040;070;080;030,SG_PubH,SINGAPORE GENERAL HOSPITAL
,100015,010;020;040;050;090,SG_GP,SATA UTTAMARAM CLINIC
,100030,033;032;042;050;040;070;080;030,SG_PubH,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD
,100060,033;032;041;050;040;030,SG_PubH,CHANGI GENERAL HOSPITAL PTE LTD
,100065,030;041;050;060;040,SG_PubH,INSTITUTE OF MENTAL HEALTH
,100070,030;040;050;060,SG_PubH,MEDICAL LOGISTICS BRANCH
,100097,030;041;050;060;040;080,SG_PubH,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD
,100105,031;041;050;035;040;030,SG_PubH,NATIONAL HEART CTR OF SINGAPORE PTE LTD
,100114,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100123,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100125,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100128,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100132,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100134,034;040;050;036;030,SG_PubH,SINGHEALTH POLYCLINICS
,100165,030;041;050;070;060;040,SG_PubH,SINGAPORE GENERAL HOSPITAL
