shipToCode;shipToName;shipToAddress1;shipToAddress2;shipToCity;shipToPostalCode
"E06277";"LIFE FAMILY CLINIC";"BLK 713 ANG MO KIO AVE 6";"#01-4052";"SINGAPORE";"SG 560713"
"300040";"ST. LUKE'S HOSPITAL FOR THE ELDERLY LTD";"2 BUKIT BATOK ST 11";"SINGAPORE";"SINGAPORE";"SG 659674"
"200963";"THE CARDIAC CTR. - DR LESLIE LAM";"3 MOUNT ELIZABETH";"#15-11 MOUNT ELIZABETH MEDICAL CENT";"SINGAPORE";"SG 228510"
"201097";"TAMPINES MEDILIFE CLINIC- DR TAN EE POH";"BLOCK 801 TAMPINES AVENUE 4";"#01-263";"SINGAPORE";"SG 520801"
"200892";"S C WONG SURGERY P/L- DR WONG SEN CHOW";"#02-03 BLOCK A";"MOUNT ALVERNIA MEDICAL CENTRE";"SINGAPORE";"SG 574623"
"200616";"DRS THOMPSON & THOMSON(RADLINK MEDICARE)P/L";"24 RAFFLES PLACE";"#02-08 CLIFFORD CENTRE";"SINGAPORE";"SG 048621"
"902312";"GUARDIAN H & B- 310 NOVENA HOSPITAL";"38 IRRAWADDY RD.";"#01-08/09/10/11";"SINGAPORE";"SG 329563"
"200891";"ST 21 CLINIC TAMPINES- DR GAN TEK KAH";"BLOCK 201B TAMPINES ST 21";"#02-1097";"SINGAPORE";"SG 522201"
"201219";"K K TAN MEDICAL CLINIC- DR TAN KOK KHENG";"BLOCK 284 BISHAN ST 22";"#01-209";"SINGAPORE";"SG 570284"
"201810";"DR CHAN & TANG FAMILY CLINIC P/L DR CHAN MING JONA";"BLOCK 125 LORONG 1 TOA PAYOH";"#01-549";"SINGAPORE";"SG 310125"
"D33111";"GUARDIAN H & B -322 TAS";"391 ORCHARD ROAD";"#B2-15/23 NGEE ANN CITY";"SINGAPORE";"SG 238872"
"100097";"AMK-THYE HUA KWAN HOSPITAL LTD";"17 ANG MO KIO AVENUE 9";"";"SINGAPORE";"SG 569766"
"200674";"WONG CLINIC - DR WONG CHIN HENG";"BLOCK 539 BEDOK NORTH ST 3";"#01-603";"SINGAPORE";"SG 460539"
"201700";"HAMID FAMILY CLINIC & SURGERY- DR HAMID BIN AHMAD";"BLOCK 156 PASIR RIS ST 13";"#01-35 ( ALL ORDER USE CORP-C)";"SINGAPORE";"SG 510156"
"202106";"EVERHEALTH FAMILY CLINIC & SURGERY";"BLOCK 762 JURONG WEST ST 75";"#01-290 GEK POH SHOPPING CENTRE";"SINGAPORE";"SG 640762"
"200590";"TEBAN GARDEN CLINIC-DR CHEW PIN KEE";"BLOCK 61 TEBAN GARDEN RD.";"#01-01";"SINGAPORE";"SG 600061"
"202692";"KH MAK HEART CLINIC P/L- DR MAK KOON HOU";"6 NAPIER RD.";"#08-13 GLENEAGLES MEDICAL CENTRE";"SINGAPORE";"SG 258499"
"902202";"WATSON'S PCS- PARAGON";"290 ORCHARD RD.";"#B1-32/33 PARAGON";"SINGAPORE";"SG 238859"
"203244";"SOON DIABETES THYROID AND ENDOCRINOLOGY CLINIC";"10 SINARAN DRIVE";"#10-08 NOVENA MEDICAL CENTER, SQUAR";"SINGAPORE";"SG 307506"
"201808";"RAFFLES MEDICAL GROUP LTD";"BLOCK 202 BEDOK NORTH ST 1";"#01-489";"SINGAPORE";"SG 460202"
"100125";"SINGHEALTH POLYCLINICS- BKT MERAH BRCH";"BLK 163 BUKIT MERAH CENTRAL";"#04-3565";"SINGAPORE";"SG 150163"
"202652";"BOON LAY CORPORATION CLINIC P/L P/L- DR LEE CHANG";"BLOCK 350 JURONG EAST AVENUE 1";"#01-1225";"SINGAPORE";"SG 600350"
"201653";"K.B. TAN CLINIC & SURGERY- DR TAN KOK BENG";"BLOCK 625 ELIAS RD.";"#01-310";"SINGAPORE";"SG 510625"
"201754";"JO-LIN PTE LTD-DR JOSEPHINE LEE C/O JO-LIN FAMILY";"BLOCK 533 CHOA CHU KANG ST 51";"#01-29 LIMBANG SHOPPING CENTRE";"SINGAPORE";"SG 680533"
"202962";"PETER ENG ENDOCRINE CLINIC PTE LTD";"3 MOUNT ELIZABETH";"#10-07 MOUNT ELIZABETH MEDICAL CENT";"SINGAPORE";"SG 228510"
"200775";"EMMANUEL MEDICAL CLINIC";"BLOCK 272 TAMPINES ST 22";"#01-26";"SINGAPORE";"SG 520272"
"200322";"LIEW CLINIC - DR LIEW B L";"5000G MARINE PARADE RD.";"#01-31 LAGUNA PARK";"SINGAPORE";"SG 449290"
"200404";"NAIR CARDIAC & MEDICAL CTR- DR V P NAIR";"3 MOUNT ELIZABETH";"#16-08 MOUNT ELIZABETH MEDICAL CENT";"SINGAPORE";"SG 228510"
"203661";"TAY CLINIC";"BLOCK 117 BEDOK RESERVOIR RD.";"#01-62";"SINGAPORE";"SG 470117"
"202957";"RAFFLES MEDICAL GRP LTD-TAMPINESONE";"10 TAMPINES CENTRAL 1";"#03-28 TAMPINES 1";"SINGAPORE";"SG 520506"
"201968";"Y S LAU CARDIOLOGY CLINIC P/L-DR LAU YUNG SANG";"820 THOMSON RD.";"#06-69 MT ALVERNIA MEDICAL CTR BLK";"SINGAPORE";"SG 574623"
"202165";"NYAM COLON,RECTAL & GENERAL SURGERY P/L-DRNYAM";"3 MOUNT ELIZABETH";"#17-17 MOUNT ELIZABETH MEDICAL CENT";"SINGAPORE";"SG 228510"
"201514";"L & L FAMILY MEDICINE CL- DR GERALD LOW MUN HENG";"6 SIN MING RD.";"#01-07 SIN MING PLAZA TOWER 2";"SINGAPORE";"SG 575585"
