CallChannel,NbCall,SourceID,FiscalYear,ProductName_Level2
Face to Face,5148,Undefined,2019/2020,Diamicron MR
Face to Face,2672,Undefined,2020/2021,Diamicron MR
Face to Face,2444,Undefined,2019/2020,NatSR/Natrixam
Face to Face,2265,Undefined,2019/2020,Coveram
Face to Face,1758,Undefined,2019/2020,Coralan
Face to Face,1594,Undefined,2019/2020,Triplixam
Face to Face,1572,Undefined,2019/2020,Daflon 500
Face to Face,1045,Undefined,2019/2020,Vastarel MR
Face to Face,1004,Undefined,2019/2020,Coversyl
Face to Face,912,Undefined,2020/2021,Coversyl Family
Face to Face,897,Undefined,2020/2021,NatSR/Natrixam
Face to Face,819,Undefined,2020/2021,Daflon 1000
Face to Face,786,Undefined,2020/2021,Vastarel XR 80
Face to Face,694,Undefined,2019/2020,Valdoxan
Face to Face,662,Undefined,2019/2020,Coversyl Plus
Face to Face,596,Undefined,2020/2021,Coralan
Face to Face,490,Undefined,2020/2021,Daflon 500
Face to Face,464,Undefined,2019/2020,Cedraflon
Face to Face,462,Undefined,2019/2020,Daflon 1000
Face to Face,414,0011i000001xnVfAAI,2019/2020,Coralan
Face to Face,411,Undefined,2019/2020,Cosyrel
Remote-detailing,405,Undefined,2019/2020,Diamicron MR
Face to Face,396,0011i000001xnVfAAI,2019/2020,Diamicron MR
Face to Face,351,Undefined,2020/2021,Valdoxan
Face to Face,320,0011i000001xnVcAAI,2019/2020,Diamicron MR
Face to Face,319,0011i000001xnVLAAY,2019/2020,Diamicron MR
Face to Face,251,Undefined,2020/2021,Coveram
Face to Face,238,Undefined,2020/2021,Vastarel MR
Face to Face,232,0011i000001xnVcAAI,2019/2020,Coveram
Face to Face,213,0011i000001xnTlAAI,2019/2020,Diamicron MR
Face to Face,207,0011i000001xnVcAAI,2019/2020,NatSR/Natrixam
Face to Face,177,0011i000001xnVcAAI,2019/2020,Coralan
Messages,177,Undefined,2020/2021,Diamicron MR
Face to Face,175,0011i000001xnVLAAY,2019/2020,Coveram
Face to Face,174,Undefined,2020/2021,Natrilix Family
Face to Face,172,0011i000001xnVfAAI,2020/2021,Coralan
Messages,172,Undefined,2020/2021,Coralan
Remote-detailing,172,Undefined,2019/2020,Valdoxan
Face to Face,167,0011i000001xnVHAAY,2019/2020,Diamicron MR
Face to Face,167,Undefined,2019/2020,Natrixam
Face to Face,163,0011i000001xnVLAAY,2019/2020,NatSR/Natrixam
Face to Face,163,Undefined,2020/2021,Triplixam
Remote-detailing,160,Undefined,2019/2020,Daflon 1000
Face to Face,158,0011i000001xnVfAAI,2019/2020,NatSR/Natrixam
Face to Face,158,Undefined,2020/2021,Coversyl
Remote-detailing,156,Undefined,2019/2020,NatSR/Natrixam
Face to Face,155,0011i000001xnVKAAY,2019/2020,Diamicron MR
Face to Face,149,0011i000001xnVLAAY,2019/2020,Coralan
Face to Face,141,0011i000001xnVgAAI,2019/2020,Diamicron MR
Face to Face,138,0011i000001xnVgAAI,2019/2020,NatSR/Natrixam
Face to Face,134,0011i000001xnVLAAY,2020/2021,Diamicron MR
Face to Face,134,Undefined,2019/2020,Deprexis
Email,131,Undefined,2020/2021,Diamicron MR
Remote-detailing,123,Undefined,2019/2020,Coversyl
Face to Face,119,0011i000001xnViAAI,2019/2020,Diamicron MR
Face to Face,115,0011i000001xnViAAI,2019/2020,NatSR/Natrixam
Face to Face,113,0011i000001xnVcAAI,2020/2021,Diamicron MR
Messages,113,Undefined,2020/2021,Valdoxan
Face to Face,109,0011i000001xnVfAAI,2020/2021,Vastarel MR
Face to Face,105,0011i000001xnTlAAI,2019/2020,Coralan
Messages,95,Undefined,2020/2021,Coversyl Family
Face to Face,92,Undefined,2020/2021,Cosyrel
Face to Face,91,0011i000001xnVSAAY,2019/2020,Diamicron MR
Face to Face,91,0011i000001xnVSAAY,2019/2020,NatSR/Natrixam
Remote-detailing,90,Undefined,2019/2020,Daflon 500
Face to Face,84,Undefined,2019/2020,Arcalion
Messages,82,0011i000001xnVfAAI,2020/2021,Coralan
Remote-detailing,82,Undefined,2019/2020,Triplixam
Face to Face,79,0011i000001xnVTAAY,2019/2020,Diamicron MR
Face to Face,79,0011i000001xnVTAAY,2019/2020,NatSR/Natrixam
Face to Face,77,0011i000001xnVHAAY,2019/2020,Coralan
Face to Face,77,0011i000001xnVVAAY,2019/2020,Diamicron MR
