Name,Veeva ID,Parent HCO Account,Address line 1,Address line 2,Address line 3,Postal Code
Fullerton Healthcare Group,0011i000001xnGc,,10 Marina Boulevard #01-03/1A,Marina Bay Financial Ctr Tower 2,,018981
Shenton Medical Group,0011i000001xmm1,,8A Marina Boulevard #B2-76,Marina Bay Link Mall,,018984
Shenton Medical Group,0011i000001xncO,,8A Marina Boulevard #B2-76,Marina Bay Link Mall,,018984
Bethesda Medical Centre Pte Ltd,0011i000001xmyr,,3 Temasek Boulevard,#B1-124 Suntec City Mall,,038983
Crawfurd Medical,0011i000001xnAB,,3 Temasek Boulevard,#02-482/484 Suntec City,,038983
The Medical Practice Pte Ltd,0011i000001xmrK,,1 Raffles Link,#01-03A,,039393
MW Global Pte Ltd,0011i000001xn74,,18 Cross Street #02-11/12,China Square Central,,048423
The Medical & Rejuvenation Centre,0011i000001xnCX,,18 Cross Street,#02-33 China Square Central,,048423
Providence Medical Centre,0011i000001xmk0,,8 Cross Street #01-03,PWC Building,,048424
The Medical Centre Clinic,0011i000001xnEt,,16 Raffles Quay #B1-15,Hong Leong Building,,048581
The Medical Centre Clinic,0011i000001xmk2,,16 Raffles Quay,#B1-15 Hong Leong Building,,048581
Drs Bain & Partners,0011i000001xn5m,,1 Raffles Quay,#09-03 One Raffles Quay North Tower,,048583
Drs Bain & Partners,0011i000001xn5m,,1 Raffles Quay #09-03,One Raffles Quay North Tower,,048583
Drs Bain & Partners,0011i000001xnbO,,1 Raffles Quay,#09-03 One Raffles Quay-North Tower,,048583
Drs Bain & Partners,0011i000001xn5m,,1 Raffles Quay,#09-03 One Raffles Quay - North Tower,,048583
Drs Bain & Partners,0011i000001xnRF,,1 Raffles Quay,#09-03 One Raffles Quay-North Tower,,048583
Drs Bain & Partners,0011i000001xn5m,,1 Rafles Quay #09-03,One Raffles Quay (North),,048583
Parkway Shenton Pte Ltd,0011i000001xmfF,,1 Raffles Quay,#09-02 One Raffles Quay North Tower,,048583
Shenton Medical Group,0011i000001xnEp,,1 Raffles Quay North Tower,#09-02 One Raffles Quay,,048583
Shenton Medical Group,0011i000001xmy3,,1 Raffles Quay,#09-02 North Tower,,048583
Parkway Shenton Pte Ltd,0011i000001xmkt,,9 Raffles Place,#02-22 Republic Plaza II,,048619
Parkway Shenton Pte Ltd,0011i000001xnbH,,9 Raffles Place,#02-22 Republic Plaza II,,048619
Parkway Shenton Pte Ltd,0011i000001xnEW,,9 Raffles Place,#02-22 Republic Plaza II,,048619
Drs Thompson & Thomson (Radlink Medicare),0011i000001xn1F,,24 Raffles Placa#02-08,#02-08,,048621
Drs Thompson & Thomson Pte Ltd,0011i000001xmkV,,24 Raffles Place,#02-08 Clifford Centre,,048621
K N Chin & Associates Pte Ltd,0011i000001xmiO,,24 Raffles Place,#02-18 Clifford Centre,,048621
The Bonham Clinic,0011i000001xmp7,,1 Philip Street,#04-02,,048692
The Clinic @ Capitagreen,0011i000001xn1G,,138 Market Street #02-01A,Raffles Place MRT,,048946
Northeast Clinic,0011i000001xmlV,,20 Malacca Street,#B1-00,,048979
Northeast (TMA) Medical Associates,0011i000001xnT0,,22 Malacca Street #13-01,"Raffles Place, Royal Brothers Bldg",,048980
Northeast Medical Group Raffles Place,0011i000007FG5Z,,22 Malacca Street,#13-03 RB Capital Building,,048980
Temasek Medical Associates,0011i000001xn1c,,22 Malacca Street,#13-01 Royal Brothers Building,,048980
The Clinic @ One George Street,0011i000001xn7P,,1 George Street,#05-05 Lobby C,,049145
The Clinic @ One George Street,0011i000001xnAx,,1 George Street,#05-05 (Lobby C),,049145
Fullerton Healthcare Group,0011i000001xnKR,,10 Collyer Quay #03-08/09,Ocean Financial Centre,,049315
Fullerton Healthcare Group,0011i000001xnAc,,10 Collyer Quay #03-08/09,Raffles Place MRT,,049315
Parkway Shenton,0011i000001xn4g,,11 Collyer Quay#19-01,The Arcade,,049317
Parkway Shenton Medical,0011i000001xmto,,11 Collyer Quay #19-01,The Arcade,,049317
Parkway Shenton Pte Ltd,0011i000001xnFr,,11 Collyer Quay,#19-01 The Arcade,,049317
Parkway Shenton Pte Ltd,0011i000001xmsi,,11 Collyer Quay,"#19-01, The Arcade",,049317
Shenton Medical Clinic,0011i000001xmzf,,11 Collyer Quay #19-01,The Arcade,,049317
Shenton Medical Clinic,0011i000001xmzg,,11 Collyer Quay #19-01,The Arcade,,049317
Shenton Medical Clinic,0011i000001xmli,,11 Collyer Quay #19-01,The Arcade,,049317
Shenton Medical Group,0011i000001xn75,,11 Collyer Quay #19-01,The Arcade,,049317
The Medical Clinic,0011i000001xmjc,,63 Chulia Street,#01-02 OCBC Centre East,,049513
The Medical Clinic,0011i000001xnEA,,63 Chulia Street,#01-02 OCBC Centre East,,049514
Chinatown Medical Centre,0011i000001xmhI,,Blk 531 Upper Cross Street,#02-64 Hong Lim Complex,,050531
Hong's Clinic People's Park Centre,0011i000001xnd2,,101 Upper Cross Street,#B1-37 People's Park Centre,,058357
Straits Medical,0011i000001xn9E,,16 Upper Circular Road,#15-01 Amcis House,,058414
Thong Teck Clinic,0011i000001xmjJ,,72 Smith Street,,,058969
Dr L.Y. Lai & Neo Clinic,0011i000001xnZr,,1 Park Road,#04-27 Peoples Park Complex,,059108
Lai Clinic,0011i000001xnW4,,1 Park Road #01-13,People's Park Complex,,059108
Family Medicine Clinic @ Chinatown,0011i000001xmfh,,Blk 133 New Bridge Road,#02-09/10,,059413
Jade Medical Clinic Pte Ltd,0011i000001xnbV,,6 Eu Tong Sen Street,#04-46/47 The Central,,059817
Dr Lim Lean Huat & Associates Pte Ltd,0011i000001xnCC,,6 Shenton Way #40-03,DBS Building Tower 1,,068809
Trinity Medical Group,0011i000001xnJL,,6 Shenton Way OUE,#21-10 Downtown 2,,068809
Trinity Medical Group,0011i000001xn0u,,6 Shenton Way #21-10,OUE Downtown 2,,068809
Trinity Medical Group,0011i000001xnJh,,6 Shenton Way #21-10,OUE Downtown 2,,068809
Clifford Dispensary,0011i000001xn9e,,77 Robinson Road,#06-02 SIA Building,,068896
Clifford Dispensary,0011i000001xn9I,,77 Robinson Road,#06-02 SIA Building,,068896
Clifford Dispensary Pte Ltd,0011i000001xnEV,,350 Orchard Road,#15-03 Shaw House,,068896
Vivien @ Robinson Practice,0011i000001xn60,,80 Robinson Road,#01-01A,,068898
Healthway Medical Clinic,0011i000001xnI7,,144 Robinson Road,#01-02/03,,068908
Guardian Pharmacy - Tanjong Pagar,0011i000001xn3c,,120 Maxwell Road #B2-01/02/03,Tanjong Pagar MRT,,069119
TPC Medical Clinic,0011i000001xn13,,7 Wallich Street #B1-015,Tanjong Pagar Centre,,078884
Fullerton Health @ Gethin-Jones,0011i000001xn9T,,78 Shenton Way,#04-01,,079120
Fullerton Healthcare @ Gethin Jones,0011i000001xmvk,,78 Shenton Way,#04-01,,079120
The Bonham Clinic,0011i000001xmgy,,100 Peck Seah Street,#11-16/17,,079333
Parkway Shenton Pte Ltd,0011i000001xn5W,,10 Anson Road,#36-01 International Plaza,,079903
Shenton Medial Group,0011i000001xnEJ,,10 Anson Road #36-01,International Plaza,,079903
Shenton Medical Group,0011i000001xmjb,,10 Anson Road,#36-01 International Plaza,,079903
Shenton Medical Group,0011i000001xmuD,,10 Anson Road,#36-01 International Plaza,,079903
Shenton Medical Group,0011i000001xmvV,,10 Anson Road #36-01,International Plaza,,079903
Shenton Medical Group,0011i000001xmyM,,10 Anson Road #36-01,International Plaza,,079903
Parkway Shenton Group,0011i000001xn7q,,1 Cantonment Road #01-02,Pinnacle @ Duxton,,080001
W Koh Clinic,0011i000001xnbr,,Block 4 Everton Park,#01-44,,080004
Everton Clinic,0011i000001xmjd,,7 Everton Park,#01-17,,080007
Grace Clinic,0011i000001xn6Z,,333 Kreta Ayer Road,#02-14,,080333
Kreta Ayer Clinic Pte Ltd,0011i000001xmfn,,Block 333 Kreta Ayer Road,#02-14 Kreta Ayer Centre,,080333
Lee Clinic & Surgery,0011i000001xnOt,,Blk 333  Kreta Ayer Road,#01-20,,080333
Duxton Medical Clinic,0011i000001xmvs,,Blk 7 Tanjong Pagar Plaza,#01-06,,081007
Duxton Medical Clinic,0011i000001xmvs,,Blk 7 Tanjong Pagar,#01-106 Tg Pagar Plaza,,081007
Stamford Medical Group Pte Ltd,0011i000001xn8b,,Block 7 Tanjong Pagar Plaza,#01-102,,081007
Seacare Maritime Medical Centre Pte Ltd,0011i000001xnL6,,100 Tras Street,#18-02/03 Amara Corporate Tower,,088539
CityMed Health Associates Pte Ltd,0011i000001xnCE,,19 Keppel Road,#01-01 Jit Poh Building,,089058
Maritime Medeical Centre,0011i000001xn9c,,120 Cantonment Road #02-05,Maritime House,,089760
Keppel Medical Group,0011i000001xnVy,,9 Telok Blangah Crescent,#01-139,,090009
Chung & Ee Medical Clinic,0011i00000X992G,,10 Telok Blangah Crescent,#01-151,,090010
Meden Clinic & Surgery,0011i000001xmhe,,Blk 35 Telok Blangah Rise,#01-295,,090035
Meden Clinic & Surgery,0011i000001xn1Z,,35 Telok Blangah Rise,#01-295,,090035
Health Partnership Medical Centre,0011i000001xn2V,,109 Bukit Purmei Road,#01-145,,090109
