shipToCode,name,address1,address2,city,postalCode
000100,KEPPEL FELS LIMITED -DR GIDEON NG,50 GUL ROAD,MEDICAL CTR.,SINGAPORE,629350
000396,PCS MEDICAL CTR.,100 AYER MERBAU RD.,,SINGAPORE,628277
000481,MAJLIS UGAMA ISLAM SINGAPURA PILGRIMAGE SECTION,273 BRADDELL ROAD,,SINGAPORE,579702
000586,"WONG, ONG & PARTNERS- DR ONG ENG CHIANG",39 ROBINSON ROAD,#17-02 ROBINSON POINT,SINGAPORE,068911
000930,ADVANCE SURGICAL GROUP PTE LTD,290 ORCHARD RD.,#08-01 PARAGON MEDICAL TOWER (LOBBY 2),SINGAPORE,238859
000964,ISLAND VETERINARY CLINIC PTE LTD,BLK 114 JURONG EAST ST 13,#01-404,SINGAPORE,600114
100002,TAN TOCK SENG HOSPITAL PTE LTD,MOULMEIN RD.,PHARMACY DEPT,SINGAPORE,308087
100004,SINGAPORE GENERAL HOSPITAL PTE LTD THE PHARMACY,BLK 8 LEVEL 2 OUTRAM ROAD,1FSS PTE LTD,SINGAPORE,169036
100015,SATA COMMHEALTH,351 CHAI CHEE ST,,SINGAPORE,468982
100030,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD,LOWER KENT RIDGE RD.,PHARMACY DEPARTMENT,SINGAPORE,119074
100060,CHANGI GENERAL HOSPITAL PTE LTD,2 SIMEI ST. 3,,SINGAPORE,529889
100065,INSTITUTE OF MENTAL HEALTH,PHARMACY DEPT,BUANGKOK GREEN MEDICAL PARK,SINGAPORE,539747
100070,MEDICAL LOGISTICS BRANCH,"701, TRANSIT ROAD",#04-01 AFPN 1202,SINGAPORE,778910
100097,AMK-THYE HUA KWAN HOSPITAL LTD,17 ANG MO KIO AVENUE 9,,SINGAPORE,569766
100105,NATIONAL HEART CTR OF SINGAPORE PTE LTD,MISTRI WING,17 THIRD HOSPITAL AVENUE,SINGAPORE,169609
100114,SINGHEALTH POLYCLINICS-TAMPINESBRCH,167 JALAN BUKIT MERAH,TOWER 5 #15-10,SINGAPORE,529203
100123,SINGHEALTH POLYCLINICS-BEDOK BRANCH,167 JLN BKT. MERA,#15-10 INSTITUTE OF HEALTH TOWER 5,SINGAPORE,460212
