rowId,code,_name,_address1,_address2,_address3,_postalCode,types,name,formattedAddress,postalCode,latitude,longitude,score
0,0011i000001xnGc,Fullerton Healthcare Group,10 Marina Boulevard #01-03/1A,Marina Bay Financial Ctr Tower 2,Marina Bay Financial Ctr Tower 2,018981,"[""establishment"",""health"",""point_of_interest""]",Fullerton Health @ MBFC,"10 Marina Blvd Tower 2 #01-03, 1A Marina Bay Financial Centre, Singapore 018981",018981,1.2794828,103.8536257,0.0
1,0011i000001xmm1,Shenton Medical Group,8A Marina Boulevard #B2-76,Marina Bay Link Mall,Marina Bay Link Mall,018984,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - Marina Bay Link Mall,"8A Marina Boulevard #B2-76 Marina Bay Link Mall, Singapore 018984",018984,1.2797602,103.8553758,0.0
2,0011i000001xncO,Shenton Medical Group,8A Marina Boulevard #B2-76,Marina Bay Link Mall,Marina Bay Link Mall,018984,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - Marina Bay Link Mall,"8A Marina Boulevard #B2-76 Marina Bay Link Mall, Singapore 018984",018984,1.2797602,103.8553758,0.0
3,0011i000001xmyr,Bethesda Medical Centre Pte Ltd,3 Temasek Boulevard,#B1-124 Suntec City Mall,#B1-124 Suntec City Mall,038983,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Bethesda Medical Centre,"3 Temasek Blvd, #03 - 330, Singapore 038983",038983,1.2946017,103.8578815,0.0
4,0011i000001xnAB,Crawfurd Medical,3 Temasek Boulevard,#02-482/484 Suntec City,#02-482/484 Suntec City,038983,"[""establishment"",""health"",""point_of_interest""]",Crawfurd Medical,"3 Temasek Boulevard #02-482, Suntec City Mall (North Wing between Tower 1 & 2), Singapore 038983",038983,1.295644,103.858591,0.0
5,0011i000001xmrK,The Medical Practice Pte Ltd,1 Raffles Link,#01-03A,#01-03A,039393,"[""establishment"",""health"",""point_of_interest""]",The Medical Practice,"1 Raffles Link, #1 03A, Singapore 039393",039393,1.2917308,103.8556218,0.0
6,0011i000001xn74,MW Global Pte Ltd,18 Cross Street #02-11/12,China Square Central,China Square Central,048423,"[""premise""]",18 Cross St,"18 Cross St, Singapore 048423",048423,1.2835867,103.8470853,1.0
7,0011i000001xnCX,The Medical & Rejuvenation Centre,18 Cross Street,#02-33 China Square Central,#02-33 China Square Central,048423,"[""establishment"",""point_of_interest""]",The Medical and Rejuvenation Centre,"18 Cross St, Singapore 048423",048423,1.2835457,103.8468056,1.0
8,0011i000001xmk0,Providence Medical Centre,8 Cross Street #01-03,PWC Building,PWC Building,048424,"[""establishment"",""health"",""point_of_interest""]",Providence Medical Centre Pte Ltd,"8 Cross St, #01-02/03, Singapore 048424",048424,1.2825989,103.8491851,0.0
9,0011i000001xnEt,The Medical Centre Clinic,16 Raffles Quay #B1-15,Hong Leong Building,Hong Leong Building,048581,"[""establishment"",""health"",""point_of_interest""]",Medical Centre Clinic The (hong Leong),"16 Raffles Quay, #14-05, Singapore 048581",048581,1.281197,103.851013,0.0
10,0011i000001xmk2,The Medical Centre Clinic,16 Raffles Quay,#B1-15 Hong Leong Building,#B1-15 Hong Leong Building,048581,"[""establishment"",""health"",""point_of_interest""]",Medical Centre Clinic The (hong Leong),"16 Raffles Quay, #14-05, Singapore 048581",048581,1.281197,103.851013,0.0
11,0011i000001xn5m,Drs Bain & Partners,1 Raffles Quay,#09-03 One Raffles Quay North Tower,#09-03 One Raffles Quay North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
12,0011i000001xn5m,Drs Bain & Partners,1 Raffles Quay #09-03,One Raffles Quay North Tower,One Raffles Quay North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
13,0011i000001xnbO,Drs Bain & Partners,1 Raffles Quay,#09-03 One Raffles Quay-North Tower,#09-03 One Raffles Quay-North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
14,0011i000001xn5m,Drs Bain & Partners,1 Raffles Quay,#09-03 One Raffles Quay - North Tower,#09-03 One Raffles Quay - North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
15,0011i000001xnRF,Drs Bain & Partners,1 Raffles Quay,#09-03 One Raffles Quay-North Tower,#09-03 One Raffles Quay-North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
16,0011i000001xn5m,Drs Bain & Partners,1 Rafles Quay #09-03,One Raffles Quay (North),One Raffles Quay (North),048583,"[""establishment"",""health"",""point_of_interest""]",Drs. Bain & Partners - Shenton Way,"1 Raffles Quay, #09-03 One Raffles Quay North Tower, Singapore 048583",048583,1.281142,103.851928,0.0
17,0011i000001xmfF,Parkway Shenton Pte Ltd,1 Raffles Quay,#09-02 One Raffles Quay North Tower,#09-02 One Raffles Quay North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - One Raffles Quay,"1 Raffles Quay North Tower, #09-02, Singapore 048583",048583,1.2816325,103.8522186,0.0
18,0011i000001xnEp,Shenton Medical Group,1 Raffles Quay North Tower,#09-02 One Raffles Quay,#09-02 One Raffles Quay,048583,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - One Raffles Quay,"1 Raffles Quay North Tower, #09-02, Singapore 048583",048583,1.2816325,103.8522186,0.0
19,0011i000001xmy3,Shenton Medical Group,1 Raffles Quay,#09-02 North Tower,#09-02 North Tower,048583,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - One Raffles Quay,"1 Raffles Quay North Tower, #09-02, Singapore 048583",048583,1.2816325,103.8522186,0.0
20,0011i000001xmkt,Parkway Shenton Pte Ltd,9 Raffles Place,#02-22 Republic Plaza II,#02-22 Republic Plaza II,048619,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - Republic Plaza,"9 Raffles Place, #02-22 Republic Plaza, II 048619",048619,1.2833249,103.8504909,0.0
21,0011i000001xnbH,Parkway Shenton Pte Ltd,9 Raffles Place,#02-22 Republic Plaza II,#02-22 Republic Plaza II,048619,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - Republic Plaza,"9 Raffles Place, #02-22 Republic Plaza, II 048619",048619,1.2833249,103.8504909,0.0
22,0011i000001xnEW,Parkway Shenton Pte Ltd,9 Raffles Place,#02-22 Republic Plaza II,#02-22 Republic Plaza II,048619,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group - Republic Plaza,"9 Raffles Place, #02-22 Republic Plaza, II 048619",048619,1.2833249,103.8504909,0.0
23,0011i000001xn1F,Drs Thompson & Thomson (Radlink Medicare),24 Raffles Placa#02-08,#02-08,#02-08,048621,"[""establishment"",""health"",""point_of_interest""]",Drs Thompson & Thomson (RadLink Medicare),"24 Raffles Place, #02-08 Clifford Centre, Singapore 048621",048621,1.2838533,103.8519697,0.0
24,0011i000001xmkV,Drs Thompson & Thomson Pte Ltd,24 Raffles Place,#02-08 Clifford Centre,#02-08 Clifford Centre,048621,"[""establishment"",""health"",""point_of_interest""]",Drs Thompson & Thomson (RadLink Medicare),"24 Raffles Place, #02-08 Clifford Centre, Singapore 048621",048621,1.2838533,103.8519697,0.0
25,0011i000001xmiO,K N Chin & Associates Pte Ltd,24 Raffles Place,#02-18 Clifford Centre,#02-18 Clifford Centre,048621,"[""establishment"",""health"",""point_of_interest""]",K N Chin & Associates Pte Ltd,"24 Raffles Place, #02-18 Clifford Centre, Singapore 048621",048621,1.283857,103.852378,0.0
26,0011i000001xmp7,The Bonham Clinic,1 Philip Street,#04-02,#04-02,048692,"[""establishment"",""health"",""point_of_interest""]",Bonham Clinic The,"1 Phillip St, #04-02 048692, Singapore 048692",048692,1.2849817,103.8500452,0.0
27,0011i000001xn1G,The Clinic @ Capitagreen,138 Market Street #02-01A,Raffles Place MRT,Raffles Place MRT,048946,"[""doctor"",""establishment"",""health"",""hospital"",""physiotherapist"",""point_of_interest""]",The Clinic Group @ Capitagreen,"138 Market St, # 02 01A, Singapore 048946",048946,1.2820114,103.8499872,0.0
28,0011i000001xmlV,Northeast Clinic,20 Malacca Street,#B1-00,#B1-00,048979,"[""subpremise""]","20 Malacca St, B1","20 Malacca St, B1, Singapore 048979",048979,1.2839893,103.8507597,1.0
29,0011i000001xnT0,Northeast (TMA) Medical Associates,22 Malacca Street #13-01,"Raffles Place, Royal Brothers Bldg","Raffles Place, Royal Brothers Bldg",048980,"[""establishment"",""point_of_interest""]",Royal Brothers Building,"22 Malacca St, Singapore 048980",048980,1.2839977,103.8507512,1.0
30,0011i000007FG5Z,Northeast Medical Group Raffles Place,22 Malacca Street,#13-03 RB Capital Building,#13-03 RB Capital Building,048980,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Northeast Medical Group,"22 Malacca St, #13-03 RB Capital Building, Singapore 048980",048980,1.2839962,103.8507478,0.0
31,0011i000001xn1c,Temasek Medical Associates,22 Malacca Street,#13-01 Royal Brothers Building,#13-01 Royal Brothers Building,048980,"[""establishment"",""point_of_interest""]",Royal Brothers Building,"22 Malacca St, Singapore 048980",048980,1.2839977,103.8507512,1.0
32,0011i000001xn7P,The Clinic @ One George Street,1 George Street,#05-05 Lobby C,#05-05 Lobby C,049145,"[""doctor"",""establishment"",""health"",""hospital"",""point_of_interest""]",The Clinic @ One George Street,"1 George St, Singapore 049145",049145,1.285657,103.847807,0.0
33,0011i000001xnAx,The Clinic @ One George Street,1 George Street,#05-05 (Lobby C),#05-05 (Lobby C),049145,"[""doctor"",""establishment"",""health"",""hospital"",""point_of_interest""]",The Clinic @ One George Street,"1 George St, Singapore 049145",049145,1.285657,103.847807,0.0
34,0011i000001xnKR,Fullerton Healthcare Group,10 Collyer Quay #03-08/09,Ocean Financial Centre,Ocean Financial Centre,049315,"[""establishment"",""health"",""point_of_interest""]",Fullerton Health @ Ocean Financial Centre,"10 Collyer Quay, #03-08/09 Ocean Financial Centre, Singapore 049315",049315,1.2831801,103.8520125,0.0
35,0011i000001xnAc,Fullerton Healthcare Group,10 Collyer Quay #03-08/09,Raffles Place MRT,Raffles Place MRT,049315,"[""establishment"",""health"",""point_of_interest""]",Fullerton Health @ Ocean Financial Centre,"10 Collyer Quay, #03-08/09 Ocean Financial Centre, Singapore 049315",049315,1.2831801,103.8520125,0.0
36,0011i000001xn4g,Parkway Shenton,11 Collyer Quay#19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
37,0011i000001xmto,Parkway Shenton Medical,11 Collyer Quay #19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
38,0011i000001xnFr,Parkway Shenton Pte Ltd,11 Collyer Quay,#19-01 The Arcade,#19-01 The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
39,0011i000001xmsi,Parkway Shenton Pte Ltd,11 Collyer Quay,"#19-01, The Arcade","#19-01, The Arcade",049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
40,0011i000001xmzf,Shenton Medical Clinic,11 Collyer Quay #19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
41,0011i000001xmzg,Shenton Medical Clinic,11 Collyer Quay #19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
42,0011i000001xmli,Shenton Medical Clinic,11 Collyer Quay #19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
43,0011i000001xn75,Shenton Medical Group,11 Collyer Quay #19-01,The Arcade,The Arcade,049317,"[""establishment"",""health"",""point_of_interest""]",Shenton Medical Group (The Arcade),"11 Collyer Quay, #19-01 The Arcade, Singapore 049317",049317,1.2833096,103.8523328,0.0
44,0011i000001xmjc,The Medical Clinic,63 Chulia Street,#01-02 OCBC Centre East,#01-02 OCBC Centre East,049513,"[""doctor"",""establishment"",""health"",""point_of_interest""]",+HE MEDICAL CLINIC,"63 Chulia St, #01-02, Singapore 049514",049514,1.2847189,103.8497316,1.0
45,0011i000001xnEA,The Medical Clinic,63 Chulia Street,#01-02 OCBC Centre East,#01-02 OCBC Centre East,049514,"[""doctor"",""establishment"",""health"",""point_of_interest""]",+HE MEDICAL CLINIC,"63 Chulia St, #01-02, Singapore 049514",049514,1.2847189,103.8497316,0.0
46,0011i000001xmhI,Chinatown Medical Centre,Blk 531 Upper Cross Street,#02-64 Hong Lim Complex,#02-64 Hong Lim Complex,050531,"[""establishment"",""health"",""point_of_interest""]",Chinatown Medical Centre,"531 Upper Cross St, #02-64, Singapore 050531",050531,1.284021,103.845675,0.0
47,0011i000001xnd2,Hong's Clinic People's Park Centre,101 Upper Cross Street,#B1-37 People's Park Centre,#B1-37 People's Park Centre,058357,"[""establishment"",""health"",""point_of_interest""]",Hong's Clinic,"101 Upper Cross St, Singapore 058357",058357,1.2854337,103.8436813,0.0
48,0011i000001xn9E,Straits Medical,16 Upper Circular Road,#15-01 Amcis House,#15-01 Amcis House,058414,"[""establishment"",""health"",""point_of_interest""]",Straits Medical,"16 Upper Circular Rd, Level 5, Singapore 058414",058414,1.288808,103.8480057,0.0
49,0011i000001xmjJ,Thong Teck Clinic,72 Smith Street,,,058969,"[""establishment"",""health"",""point_of_interest""]",Thong Teck Clinic,"72 Smith St, Singapore 058969",058969,1.283043,103.843061,0.0
50,0011i000001xnZr,Dr L.Y. Lai & Neo Clinic,1 Park Road,#04-27 Peoples Park Complex,#04-27 Peoples Park Complex,059108,"[""establishment"",""health"",""point_of_interest""]",Dr. L Y Lai & Neo Clinic,"1 Park Rd, Singapore 059108",059108,1.284095,103.8425309,0.0
51,0011i000001xnW4,Lai Clinic,1 Park Road #01-13,People's Park Complex,People's Park Complex,059108,"[""establishment"",""health"",""point_of_interest""]",Dr. L Y Lai & Neo Clinic,"1 Park Rd, Singapore 059108",059108,1.284095,103.8425309,0.0
52,0011i000001xmfh,Family Medicine Clinic @ Chinatown,Blk 133 New Bridge Road,#02-09/10,#02-09/10,059413,"[""establishment"",""health"",""point_of_interest""]",Family Medicine Clinic Chinatown,"133 New Bridge Rd, #02-09, Singapore 059413",059413,1.284725,103.8446153,0.0
53,0011i000001xnbV,Jade Medical Clinic Pte Ltd,6 Eu Tong Sen Street,#04-46/47 The Central,#04-46/47 The Central,059817,"[""establishment"",""health"",""point_of_interest""]",Jade Medical Clinic,"8, 13-99 Eu Tong Sen St, Tower 1, Singapore 059818",059818,1.2891137,103.8466671,1.0
54,0011i000001xnCC,Dr Lim Lean Huat & Associates Pte Ltd,6 Shenton Way #40-03,DBS Building Tower 1,DBS Building Tower 1,068809,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Dr Lim Lean Huat & Associates Pte Ltd,"101 Irrawaddy Rd, #21-04/05 Royal Square at, Singapore 329565",329565,1.320642,103.843233,1.0
55,0011i000001xnJL,Trinity Medical Group,6 Shenton Way OUE,#21-10 Downtown 2,#21-10 Downtown 2,068809,"[""establishment"",""health"",""point_of_interest""]",Trinity Medical@Shenton,"6 Shenton Way, #21-10, Singapore 068809",068809,1.276743,103.848264,0.0
56,0011i000001xn0u,Trinity Medical Group,6 Shenton Way #21-10,OUE Downtown 2,OUE Downtown 2,068809,"[""establishment"",""health"",""point_of_interest""]",Trinity Medical@Shenton,"6 Shenton Way, #21-10, Singapore 068809",068809,1.276743,103.848264,0.0
57,0011i000001xnJh,Trinity Medical Group,6 Shenton Way #21-10,OUE Downtown 2,OUE Downtown 2,068809,"[""establishment"",""health"",""point_of_interest""]",Trinity Medical@Shenton,"6 Shenton Way, #21-10, Singapore 068809",068809,1.276743,103.848264,0.0
58,0011i000001xn9e,Clifford Dispensary,77 Robinson Road,#06-02 SIA Building,#06-02 SIA Building,068896,"[""establishment"",""health"",""point_of_interest""]",Dr Chan Lee Thng & Partners (Clifford Dispensary),"77 Robinson Rd, Singapore 068896",068896,1.2777689,103.8483915,0.0
59,0011i000001xn9I,Clifford Dispensary,77 Robinson Road,#06-02 SIA Building,#06-02 SIA Building,068896,"[""establishment"",""health"",""point_of_interest""]",Dr Chan Lee Thng & Partners (Clifford Dispensary),"77 Robinson Rd, Singapore 068896",068896,1.2777689,103.8483915,0.0
60,0011i000001xnEV,Clifford Dispensary Pte Ltd,350 Orchard Road,#15-03 Shaw House,#15-03 Shaw House,068896,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Clifford Dispensary,"350 Orchard Rd, #15-03 Shaw House, Singapore 238868",238868,1.30582,103.8313158,1.0
61,0011i000001xn60,Vivien @ Robinson Practice,80 Robinson Road,#01-01A,#01-01A,068898,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Vivien@Robinson Practice,"80 Robinson Rd, 01 01A, Singapore 068898",068898,1.2799335,103.8493297,0.0
62,0011i000001xnI7,Healthway Medical Clinic,144 Robinson Road,#01-02/03,#01-02/03,068908,"[""establishment"",""health"",""point_of_interest""]",Healthway Medical Centre,"#01-02/03 S, 144 Robinson Rd, Robinson Square, Singapore 068908",068908,1.278191,103.8480799,0.0
