rowId,code,_name,_address1,_address2,_postalCode,types,name,formattedAddress,postalCode,latitude,longitude,score
0,000100,KEPPEL FELS LIMITED -DR GIDEON NG,50 GUL ROAD,MEDICAL CTR.,629350,"[""establishment"",""health"",""point_of_interest""]",Medical Centre Keppel Fels Ltd,"50 Gul Rd, Singapore 629351",629351,1.2947386,103.6717041,1.0
1,000396,PCS MEDICAL CTR.,100 AYER MERBAU RD.,,628277,"[""establishment"",""health"",""point_of_interest""]",PCS Medical Centre,Singapore 628277,628277,1.264568,103.724163,0.0
2,000481,MAJLIS UGAMA ISLAM SINGAPURA PILGRIMAGE SECTION,273 BRADDELL ROAD,,579702,"[""establishment"",""point_of_interest""]",Islamic Religious Council of Singapore,"273 Braddell Rd, Singapore 579702",579702,1.3431513,103.852263,1.0
3,000586,"WONG, ONG & PARTNERS- DR ONG ENG CHIANG",39 ROBINSON ROAD,#17-02 ROBINSON POINT,068911,"[""dentist"",""establishment"",""health"",""point_of_interest""]",Wong Ong & Partners Dental Surgeons,"39 Robinson Rd, #17-02, Singapore 068911",068911,1.2795904,103.8494785,0.0
4,000930,ADVANCE SURGICAL GROUP PTE LTD,290 ORCHARD RD.,#08-01 PARAGON MEDICAL TOWER (LOBBY 2),238859,"[""doctor"",""establishment"",""health"",""point_of_interest""]",Advance Surgical Group,"290 Orchard Road #18-01 Paragon, Medical, Tower (Lobby 2 Orchard, Singapore 238859",238859,1.304246,103.836086,0.0
5,000964,ISLAND VETERINARY CLINIC PTE LTD,BLK 114 JURONG EAST ST 13,#01-404,600114,"[""establishment"",""health"",""point_of_interest"",""veterinary_care""]",Island Vet,"114 Jurong East Street 13, #01-404, Singapore 600114",600114,1.3390869,103.7345676,0.0
6,100002,TAN TOCK SENG HOSPITAL PTE LTD,MOULMEIN RD.,PHARMACY DEPT,308087,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Tan Tock Seng Hospital,"11 Jln Tan Tock Seng, Singapore 308433",308433,1.3213889,103.8458333,1.0
7,100004,SINGAPORE GENERAL HOSPITAL PTE LTD THE PHARMACY,BLK 8 LEVEL 2 OUTRAM ROAD,1FSS PTE LTD,169036,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Singapore General Hospital,"Outram Rd, Singapore 169608",169608,1.279677,103.835984,1.0
8,100015,SATA COMMHEALTH,351 CHAI CHEE ST,,468982,"[""establishment"",""health"",""hospital"",""physiotherapist"",""point_of_interest""]",SATA CommHealth Uttamram Bedok,"351 Chai Chee St, SATA CommHealth Building, Corporate HQ, Singapore 468982",468982,1.3279741,103.9211413,0.0
9,100030,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD,LOWER KENT RIDGE RD.,PHARMACY DEPARTMENT,119074,"[""establishment"",""health"",""hospital"",""point_of_interest""]",National University Hospital,"5 Lower Kent Ridge Rd, Singapore 119074",119074,1.2938663,103.7831292,0.0
10,100060,CHANGI GENERAL HOSPITAL PTE LTD,2 SIMEI ST. 3,,529889,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Changi General Hospital,"2 Simei Street 3, Singapore 529889",529889,1.3401915,103.9495701,0.0
11,100065,INSTITUTE OF MENTAL HEALTH,PHARMACY DEPT,BUANGKOK GREEN MEDICAL PARK,539747,"[""establishment"",""health"",""point_of_interest""]",Buangkok Green Medical Park,"10 Buangkok View, Singapore 539747",539747,1.3824524,103.8855753,0.0
12,100070,MEDICAL LOGISTICS BRANCH,"701, TRANSIT ROAD",#04-01 AFPN 1202,778910,"[""subpremise""]","701 Transit Rd, 04","701 Transit Rd, 04, Singapore 778910",778910,1.4053759,103.8158163,1.0
13,100097,AMK-THYE HUA KWAN HOSPITAL LTD,17 ANG MO KIO AVENUE 9,,569766,"[""establishment"",""health"",""hospital"",""point_of_interest""]",Ang Mo Kio-Thye Hua Kwan Hospital,"17 Ang Mo Kio Ave 9, Singapore 569766",569766,1.383513,103.8402041,0.0
14,100105,NATIONAL HEART CTR OF SINGAPORE PTE LTD,MISTRI WING,17 THIRD HOSPITAL AVENUE,169609,"[""establishment"",""health"",""hospital"",""point_of_interest""]",National Heart Centre Singapore,"5 Hospital Dr, Singapore 169609",169609,1.2785753,103.8361084,0.0
