rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
0,000100,1875,0011i000001xnYZ,3306
1,000396,1872,0011i000001xnDk,0
2,000481,1135,0011i000001xmls,322
3,000586,61,0011i000001xn60,41
4,000930,709,0011i00000X9Nb9,0
5,000964,1832,0011i000001xmzO,13
6,100002,972,0011i000001xnVL,0
7,100004,220,0011i000001xnEZ,0
8,100015,1408,0011i000001xmhM,0
9,100030,100,0011i000001xnPC,0
10,100060,235,0011i000001xnTl,0
11,100065,1631,0011i000001xmns,113
12,100070,2085,0011i000001xn7F,2157
13,100097,1751,0011i000001xnPv,0
14,100105,261,0011i000001xn5A,0
15,100114,214,0011i000001xmlo,166
16,100123,1411,0011i000001xnVQ,0
17,100125,214,0011i000001xmlo,52
18,100128,1254,0011i000001xn29,0
19,100132,1319,0011i000001xn79,0
20,100134,194,0011i000001xmft,0
21,100165,433,0011i000001xmqp,0
22,100176,282,0011i000001xn1d,0
23,100193,2019,0011i000001xnSk,0
24,100195,283,0011i000001xnRD,81
25,100202,1444,0011i000001xnQI,0
26,100209,1969,0011i000001xmnO,2334
27,100274,1657,0011i000001xnKJ,0
28,100340,1902,0011i000001xmvw,187
29,100342,2104,0011i000001xmkX,0
30,200001,699,0011i000001xnHV,24
31,200017,1694,0011i000001xmjG,0
32,200018,1582,0011i000001xnCw,4
33,200019,1250,0011i000001xnYR,114
34,200021,99,0011i000001xna9,397
35,200031,747,0011i000001xnX4,0
36,200033,1414,0011i000001xmbj,104
37,200034,1342,0011i000001xmis,139
38,200035,1356,0011i000001xnWv,0
39,200037,1342,0011i000001xmis,63
40,200043,1880,0011i000001xmwK,55
41,200044,1879,0011i000001xnNf,0
42,200045,1909,0011i000001xn9O,0
43,200046,916,0011i000001xn5k,0
44,200047,1822,0011i000001xnPx,10
45,200061,820,0011i000001xnXN,0
46,200062,843,0011i000001xms6,0
47,200063,1813,0011i000001xnDt,0
48,200069,796,0011i000001xmhw,0
49,200089,773,0011i000001xnMQ,0
50,200095,1117,0011i000001xmuv,0
51,200106,1417,0011i000001xnAw,17
52,200107,1775,0011i000001xmx3,0
53,200109,777,0011i000001xnN2,0
54,200110,2059,0011i000001xmrY,15
55,200112,1310,0011i000001xnaq,0
56,200117,766,0011i000001xmhg,0
57,200121,507,0011i000001xnVw,0
58,200124,1332,0011i000001xmv1,0
59,200126,83,0011i000001xnL6,132
60,200127,1809,0011i000001xnHY,0
61,200132,939,0011i000001xnOS,0
62,200133,1388,0011i000001xnVo,0
63,200136,60,0011i000001xnEV,0
64,200137,60,0011i000001xnEV,0
65,200140,1730,0011i000001xnFW,0
66,200151,1668,0011i000001xn62,84
67,200152,1283,0011i000001xn8y,0
68,200154,172,0011i000001xnCS,0
69,200157,1838,0011i000001xnDf,0
70,200158,1414,0011i000001xmbj,9
71,200164,76,0011i000001xmjd,0
72,200178,774,0011i000001xmmn,0
73,200181,807,0011i000001xmvK,0
74,200184,1337,0011i000001xnOx,0
75,200188,547,0011i000001xmmF,0
76,200192,1237,0011i000001xnBm,0
77,200193,1294,0011i000001xn98,0
78,200201,77,0011i000001xn6Z,0
79,200203,1728,0011i000001xnCP,0
80,200205,540,0011i000001xmsr,0
81,200206,1303,0011i000001xmlU,0
82,200223,143,0011i000001xnDg,8
83,200228,1379,0011i000001xnQH,0
84,200246,508,0011i000001xmmw,0
85,200247,711,0011i000001xmxR,0
86,200248,1296,0011i000001xmzh,0
87,200260,2117,0011i000001xnbN,0
88,200281,1908,0011i000001xnZg,88
89,200282,1468,0011i000001xnDr,6
90,200286,1694,0011i000001xmjG,32
91,200287,2069,0011i000001xnc3,0
92,200288,1395,0011i000001xn2v,12
93,200291,1106,0011i000001xmmr,0
94,200299,1286,0011i00000C7N8i,497
95,200305,79,0011i000001xnOt,48
96,200307,1073,0011i000001xn3t,526
97,200315,225,0011i000001xnaJ,0
98,200318,1338,0011i000001xnK3,0
99,200322,1333,0011i000001xnBn,0
100,200323,210,0011i000001xnBg,0
101,200330,1295,0011i000001xn7t,0
102,200333,1343,0011i000001xnCD,0
103,200336,1609,0011i000001xncV,0
104,200337,1581,0011i000001xnC8,0
105,200341,135,0011i000001xnBz,0
106,200346,1711,0011i000001xn23,78
107,200347,1239,0011i000001xnZx,0
108,200352,1163,0011i000001xmpV,0
109,200355,546,0011i000001xmqB,8
110,200368,1318,0011i000001xnc2,0
111,200369,1997,0011i000001xnDo,0
112,200373,207,0011i000001xmnv,10
113,200374,88,0011i000001xmhe,0
